Id,LotArea,OverallQual,YearBuilt,GrLivArea,GarageCars,TotalBsmtSF,SalePrice
92,9629,2,1975,2924,3,1764,624634.9458215458
93,13990,1,2007,765,3,352,497528.23946472304
94,11467,7,1999,3473,3,1699,725949.491846875
95,3016,8,2011,1420,1,1922,634876.1199453971
96,9869,7,1967,3930,0,72,706284.3587469932
97,8439,5,1904,839,2,647,562359.6999904114
98,9892,1,2019,888,3,1376,493082.37284658937
99,8863,7,1936,3124,0,1914,719243.1182152126
100,9916,7,1971,2550,3,1093,693322.0048808004
101,10529,9,2005,1665,1,424,669855.1939319425
102,2878,3,2012,875,0,998,499813.56477416406
103,11268,9,1991,2533,1,707,709966.0032961514
104,6887,1,1930,2871,3,1804,581766.4219026761
105,14185,1,2021,645,3,560,536698.1515315664
106,6859,4,1908,2481,1,827,588872.8065980128
107,8331,9,2017,792,2,1665,636872.9307845738
108,10571,6,1950,931,1,955,567861.8769136636
109,10684,3,1928,1204,3,516,557605.4901268852
110,9208,1,1977,3496,1,427,571780.3087785444
111,7276,4,1939,2498,2,1562,621801.8547381929
112,4062,9,1940,3132,1,159,718251.4964795768
113,14076,3,1985,898,2,148,532965.453779019
114,2064,9,1910,3364,2,775,740324.8011527909
115,10006,7,1922,3915,1,1253,684067.9532048543
116,4568,4,1900,1463,1,1735,550541.5520537497
117,7463,3,1945,3711,0,1585,641772.8954069373
118,4027,5,2000,2734,3,66,655118.3938304114
119,4695,5,1920,2541,2,1013,618283.1227971399
120,11687,3,1989,2328,0,1835,547972.5454982469
121,7258,9,2009,2608,1,380,737661.9988307775
122,7618,4,1935,1438,3,57,586544.3156493362
123,8736,5,1953,3951,0,1282,670568.9822964822
124,2391,4,1986,1209,2,341,546851.310809223
125,14706,5,1956,1306,0,1861,555234.2175772208
126,14666,7,1900,1963,2,1153,683567.305620711
127,7892,9,1962,3890,1,726,787802.4349517786
128,5561,7,1953,1825,3,1195,632981.6896998325
129,12470,5,1954,3915,3,769,722625.6061898101
130,8184,7,2014,510,3,613,570766.1691872383
131,5099,5,1939,1585,1,1232,591409.8061983234
132,8278,3,1914,2368,2,1826,614710.9478708897
133,10392,7,1920,2773,1,353,706245.8337016791
134,5104,2,1946,3724,3,1494,660097.8700694868
135,9215,9,1972,3111,1,1821,728281.7528826374
136,14790,1,1952,1271,1,115,457931.9648697175
137,4454,6,1908,2094,1,1287,588295.8991326179
138,13837,7,1973,2107,2,661,603825.6578100291
139,10996,8,1951,1833,0,1835,655727.1152601584
140,4731,9,1956,1384,0,1465,638343.289595512
141,12965,2,2016,3814,1,1571,662084.3233290626
142,10154,2,1925,1889,0,452,548010.6297046958
143,11762,5,1940,3901,0,1868,685048.1108780482
144,7056,5,1934,3678,1,1500,683619.232194263
145,10110,6,1962,725,1,286,549363.5931100507
146,12882,3,2015,1324,3,1326,552278.3116565518
147,5840,8,1924,2765,0,1016,697619.3982494586
148,3028,1,1989,1436,2,310,506112.4993926938
149,9385,6,1974,3300,1,207,683419.8466649435
150,2502,4,1937,3053,3,617,649683.662811143
151,8910,1,1901,2806,2,445,578226.6039212318
152,14685,7,1906,2411,0,669,627896.768843398
153,11062,9,1981,2296,3,632,719669.4296489593
154,8938,4,1990,553,1,54,520555.5567555686
155,6488,4,1933,3618,2,911,690704.4380717048
156,2206,6,1990,1226,1,1035,584514.0644640116
157,7134,3,1916,3236,0,656,590643.5322789656
158,7977,6,1942,2044,2,1423,620912.7811145529
159,9721,7,1958,3670,0,1931,736161.1486603076
160,9035,3,2007,1543,0,1671,579216.1059720693
161,3484,7,2022,2413,3,979,668774.8437262793
162,9858,3,1950,2276,1,514,551893.9676986028
163,2863,2,1953,2096,2,1679,552024.0642659571
164,4790,4,1923,2414,0,1565,587519.1219213608
165,9408,8,1924,2966,0,236,708839.3913110999
166,10755,9,1970,3237,2,1302,738027.3398279703
167,7116,7,1951,1349,0,347,576387.8192670107
168,14383,1,1969,2609,3,626,577011.7430626726
169,8019,3,2016,3716,3,1127,673831.9855958567
170,3757,9,1987,2763,3,629,764084.4199554306
171,9574,1,1932,502,3,1540,471247.1960638077
172,8374,9,1948,659,0,1895,613657.5869526644
173,8892,8,1928,1280,2,1271,627510.3730724626
174,3678,1,1962,3691,2,363,664061.6051713642
175,5242,6,2006,1392,2,320,594045.0403681248
176,6636,5,1921,2530,2,1656,642916.1966750955
177,3059,6,1925,3660,1,285,672606.2002585379
178,8668,5,1927,2876,2,148,627730.6464452109
179,11914,6,2013,1079,1,1107,574403.0880246909
180,13506,5,1984,2433,1,1989,661036.4667323605
181,5157,5,1948,1880,3,405,618877.8886090803
182,7915,4,1970,1790,1,977,561690.4386291124
183,12817,3,1980,2140,0,455,570488.7265190915
184,12921,3,1983,1451,1,1766,539852.9576284902
185,11789,4,2004,3894,3,799,695660.5326172176
186,13252,9,1948,3182,1,1184,710767.4228842354
187,4693,2,1919,1487,0,1012,526920.8496902458
188,5627,9,2017,1718,0,783,673496.3625742008
189,11555,1,1985,1420,0,459,531474.7674693648
190,12173,1,1991,3285,3,1573,631256.4324108176
191,7450,5,1962,1855,3,1523,626176.3944952209
192,3663,6,1960,669,2,737,556745.9134276607
193,11721,6,2003,1020,3,508,579693.0887228617
194,12230,3,1948,1986,0,1677,544545.380310231
195,7592,7,1970,539,0,1827,538464.1481158833
196,13494,9,1900,2060,3,480,706003.8076146151
197,12429,8,1995,3832,1,1686,793253.0499539427
198,9392,6,1912,1918,3,113,623081.7546776574
199,3306,8,1993,1454,3,748,680189.8194478239
200,14221,5,1986,3797,0,1601,673265.4185956629
201,8776,8,1950,1483,2,360,638100.663235853
202,12867,4,2022,3695,0,340,652850.7203086911
203,7864,8,1955,1474,2,769,602037.3392985897
204,11474,2,1982,537,0,760,462519.33300162776
205,9526,5,1961,2875,3,968,668519.0347519551
206,10901,9,1931,1774,0,448,676217.2199752327
207,7575,4,1929,1699,0,1866,566658.7650533858
208,7530,6,1928,2125,0,834,628029.0579807799
209,14936,1,1948,1413,3,1203,490769.2755376425
210,6413,9,1944,953,3,1725,655639.9461214138
211,5748,1,1992,536,3,1430,506851.8793096318
212,14971,5,1929,3887,3,1689,717747.3570141817
213,2663,4,1915,2211,2,1219,630121.8722613
214,3998,3,1939,3520,2,1489,684179.3222223973
215,9994,6,1918,1295,1,310,572980.6345941671
216,13637,2,1917,1472,3,261,513061.20509838854
217,13935,3,1900,1092,2,1442,499370.756691621
218,3495,5,1977,1637,0,405,546927.2835979356
219,5304,9,2014,3611,3,1962,782981.9420116895
220,5763,2,1946,1824,1,142,554553.3089951249
221,7232,8,2013,2771,1,341,667069.2484949752
222,3853,2,1965,817,1,1339,463100.93198572507
223,8585,5,2017,2896,0,1124,645657.3711669601
224,14851,7,1991,2662,2,243,673756.295987566
225,3291,8,2012,3245,0,489,714104.2811151956
226,5581,1,2013,1846,3,11,534653.4065115539
227,13649,6,1993,2091,1,1262,627999.195598765
228,9554,1,1937,3611,0,560,573360.9060778052
229,9280,2,1950,2389,0,41,533225.7357228891
230,3636,1,1962,2587,2,677,580436.1949184246
231,5696,5,1903,2496,2,593,646393.0835572069
232,13191,9,1900,2272,1,1452,655989.1330950519
233,13344,6,1907,1812,0,1826,536808.0520145423
234,2698,1,1928,1785,0,1181,516117.4969914186
235,12352,1,1954,715,2,1239,441973.9916289573
236,14289,2,2002,3718,0,1693,630554.8967691947
237,6737,9,1902,2883,0,1485,673236.5625394357
238,2854,3,1931,3739,0,133,659105.0997051934
239,10164,1,1909,2639,2,1090,604623.3579060306
240,7855,5,1973,2900,1,1871,653256.1381841067
241,9392,7,1982,3118,3,1030,720417.9470308097
242,8528,6,2009,3363,1,947,693507.2084961988
243,13666,1,1933,2204,3,1549,562435.9862262582
244,7249,5,1996,3328,0,72,676953.7350186917
245,7172,5,1986,862,1,398,570369.9690710573
246,3707,6,1954,3104,3,1428,683441.6695480384
247,12969,3,1991,3916,2,1698,680802.3541280929
248,7791,5,1931,2216,2,577,606150.6386658761
249,11925,7,1949,1693,1,858,603295.6870385989
250,7535,5,1906,855,1,129,533129.6915799307
251,6931,5,1992,690,0,930,514449.74539245834
252,5510,5,1907,2969,1,1489,663324.5399548517
253,2202,3,1964,1199,0,1229,495511.59243968356
254,13447,1,1956,2554,0,1811,546170.9188137472
255,6218,5,2018,2680,2,1791,645531.5540248055
256,14688,9,1966,1056,2,265,651541.2550087502
257,10958,1,1987,1325,3,1560,503170.0685308929
258,6389,3,1986,3308,2,1985,617455.7745028492
259,4327,4,1958,1554,2,792,578975.4548190369
260,10004,1,1971,3082,1,252,573591.6875617355
261,4931,1,1953,925,2,821,482569.6988144492
262,9777,8,2020,3965,3,1312,783673.1412873912
263,2197,2,2010,3219,1,163,586391.269724631
264,9125,8,2000,2910,3,94,757163.5719411251
265,3930,7,1966,2074,2,1805,671635.1551088218
266,13774,2,1950,2629,3,832,580110.7804889351
267,8287,6,1996,2903,1,1133,675745.584269976
268,10800,6,1991,3829,0,335,730490.3896632588
269,13464,3,2010,1088,3,821,537259.2332827521
270,11339,2,1907,2512,3,237,570962.309896189
271,6282,1,1933,2047,1,380,523822.65000014746
272,13589,6,1934,794,1,1459,547318.1787289083
273,4511,5,1995,2485,3,898,670391.8399397405
274,11986,9,1987,1747,2,482,681371.9843938512
275,2659,1,1977,2048,3,1960,532119.2825001206
276,4811,7,1931,3617,1,901,729222.7765974799
277,9098,5,2019,2190,0,1048,590457.3870113731
278,8546,5,1945,1636,0,1676,611097.5712224842
279,11561,2,2006,1756,2,1140,580649.9272716041
280,3986,3,1915,2564,3,481,611469.9095384203
281,10338,7,1967,859,0,1415,584936.6204363981
282,13411,6,2015,3794,3,916,750348.8283563859
283,4911,2,1936,3413,1,993,598068.1042816219
284,3734,6,1953,1199,0,963,576496.1929136169
285,3843,2,1984,947,2,536,485687.34779084305
286,10680,2,1913,3403,1,1102,612826.3683688036
287,4976,2,1994,2912,2,1603,621756.938860626
288,3959,3,1954,1174,1,1196,511938.2779803333
289,7759,2,1947,1507,0,1979,492847.9641169056
290,8694,4,1981,1849,2,1035,564400.4595070418
291,4385,9,1906,3014,2,1823,761059.1046713138
292,13111,6,1973,2961,1,127,662336.7193231558
293,6736,1,1906,1085,2,1631,471475.21927966754
294,3802,8,1932,1756,1,91,650203.1116999146
295,10155,7,1922,1747,1,1676,627394.1528577987
296,10120,3,1984,1493,1,542,556381.2019136214
297,8616,1,1918,1935,1,845,502763.4016032334
298,7534,5,2011,1071,0,1555,532976.6412305818
299,6061,4,1918,2882,1,1681,591426.6938205537
300,13561,8,1935,1745,3,988,652664.895343143
301,2262,1,1928,2584,2,1851,535762.9905065076
302,8287,1,1959,1488,3,446,510127.66589384485
303,10815,4,1981,777,0,389,541201.5762151997
304,11208,8,1901,1719,3,671,648604.4358823262
305,13835,5,1900,3463,2,1884,665596.9827733089
306,4049,2,1946,2387,3,42,578222.0244748843
307,7423,6,1968,983,0,253,554637.5001757587
308,13915,5,1919,1765,1,1153,580702.1752856361
309,6548,2,1910,3895,3,1083,657567.3844496269
310,5108,3,2005,1230,0,662,540195.0210952663
311,14282,9,1901,2739,0,466,717214.2639947805
312,9158,7,1966,1540,2,286,671337.0444146204
313,12248,7,1986,3071,2,1010,722137.1889234488
314,9400,6,2018,1417,3,1540,669139.5780269862
315,5170,8,1911,2948,1,1490,684070.3638388071
316,11874,4,1919,1385,0,1953,574875.6980484917
317,4255,8,1904,3252,3,777,725792.4789156081
318,3154,4,1936,521,0,344,487609.6213847393
319,6499,8,1937,973,0,641,593652.5490515425
320,8295,9,1993,3691,1,381,768777.5857768254
321,8197,3,1908,2757,1,1802,591166.8079345301
322,13383,3,1997,2853,3,689,620449.4399502312
323,11888,2,1952,3841,1,1276,649049.2434614274
324,14183,3,1943,1203,1,1950,507693.2993075764
325,14915,3,1998,1186,3,1079,562012.2079650578
326,14874,5,2015,784,1,1486,582754.4723904753
327,3648,5,2021,1215,2,456,577807.9526038452
328,7539,2,1985,1262,0,982,515987.66835958353
329,11637,6,2007,1750,0,82,620083.1857780637
330,6199,5,1923,1447,0,1928,602007.737644395
331,14115,6,1980,2928,0,1122,652303.388703101
332,10445,1,1973,3007,3,148,610851.4323361156
333,13375,5,1929,1530,0,1352,529779.7781644689
334,4557,9,2019,528,0,1179,600282.8317852637
335,7592,2,1958,1406,0,189,508967.8567519382
336,2098,1,2009,3604,0,1517,629863.1993817956
337,4200,9,1986,3426,2,882,743981.332700316
338,4961,9,1995,2626,0,262,726021.8128148222
339,6973,9,1980,3494,2,1103,769435.5308703408
340,6433,6,2013,3006,3,399,672469.4469321538
341,13969,8,2014,1069,1,763,629881.7369189758
342,4869,1,1980,2506,0,608,575483.2246595642
343,13426,4,1913,1953,1,1283,547841.5468017677
344,13983,1,1908,1237,1,1795,471251.2456925963
345,2956,8,1939,3856,3,1638,750867.2203072087
346,14259,1,1965,1015,1,1575,464378.3413617997
347,10352,3,2008,2500,2,784,635243.4028704927
348,7699,4,1924,3670,1,100,652869.5104901723
349,8944,8,2002,2944,1,1382,745631.3147503065
350,6493,6,1972,538,1,1403,573481.0809586317
351,11492,7,2017,3842,0,819,728245.2417303111
352,6911,8,1921,1386,0,1244,603448.0107878754
353,5987,2,2006,3344,2,819,610480.02386371
354,11719,8,2009,2704,2,419,698382.3761161319
355,8015,3,1903,1598,0,123,527564.1478901568
356,3218,7,1925,3431,2,421,716154.2936957007
357,6496,3,1957,2323,0,1254,555077.8913014159
358,6735,7,1928,3701,3,1713,709674.7415575344
359,13296,2,2008,2210,1,1086,564223.5753564442
360,12927,6,1997,1473,1,1508,593658.9564187734
361,6555,3,1986,3655,2,1651,656044.0460883582
362,11146,3,1936,3593,0,1726,632943.2365739617
363,10050,9,1974,2062,0,1597,627863.9427722427
364,14757,7,1969,3396,2,767,692934.5079258175
365,5446,5,1917,3953,0,482,726978.8615361038
366,3045,7,1984,3295,3,518,721417.7898660076
367,8893,9,1941,1488,1,154,602251.3379520494
368,3693,1,1999,520,2,91,436801.19640967494
369,5436,7,1940,2850,2,981,740189.3473728286
370,10754,6,1937,1368,0,1549,561740.0507946032
371,12677,9,1933,583,2,454,638930.3048979432
372,7895,1,1916,2182,3,1764,544722.3599667441
373,5354,4,1936,2476,0,597,581300.6592500206
374,2225,9,1924,1910,0,1668,675808.9094152618
375,6893,4,2001,2030,0,509,534012.8664928742
376,9022,3,2021,3828,0,1206,626777.347602868
377,11151,9,1975,1069,3,385,648602.9797572088
378,7600,2,1986,1433,0,1597,481991.91203460784
379,14740,4,2016,3733,2,1754,678234.4442299206
380,13259,6,2005,2480,3,404,692074.2609136566
381,9996,2,1985,3734,1,245,636342.7344267196
382,11007,8,1984,2355,1,741,711162.3407101918
383,14946,8,1926,3556,2,1614,746907.5056870349
384,9683,1,1956,1292,2,660,515649.21662989055
385,6642,3,1930,1291,3,649,539268.59399743
386,13312,9,1905,2309,1,1494,674644.4903328044
387,9679,5,1990,1794,1,1849,627311.3611108378
388,10208,6,1939,3039,1,1911,655562.9942412786
389,9339,4,1997,2755,1,1446,634026.896462486
390,11435,2,1911,2107,1,900,552927.9472644895
391,4205,8,2008,1583,0,64,657579.8540894171
392,12716,6,2020,2977,2,1036,669541.1465955996
393,3069,5,1952,1484,0,212,585639.0081165653
394,5444,9,1970,2180,1,241,673420.8950778546
395,12757,1,1909,3880,3,492,642014.0731069999
396,3060,5,1944,1019,3,1236,580453.469420982
397,4327,6,1916,1090,1,1716,584072.613235598
398,5420,5,1925,1550,1,337,548399.9295780194
399,2301,6,1984,2209,3,172,669008.5948546878
400,14468,6,1991,2535,0,671,666661.8735281634
401,2606,7,1961,2746,0,163,673367.9156632348
402,5170,4,2021,2934,1,464,624527.6664079084
403,2699,8,1945,848,0,994,609794.9522865599
404,7088,7,1963,1459,3,496,637828.3925620154
405,11331,9,1901,2463,0,699,649861.1147234461
406,2190,7,1953,1192,1,394,582276.2107536668
407,12492,3,2006,2059,3,702,583624.1093754605
408,2980,3,1964,877,0,1940,526766.3657527932
409,4975,8,1950,3446,2,307,768903.6617261242
410,8102,5,1952,3463,3,1791,720089.3706211335
411,3184,4,1935,1026,3,182,552947.2055536773
412,5327,8,2014,3724,2,628,787271.895835584
413,5394,6,1925,3281,2,1817,666234.4118262822
414,10319,2,1928,2753,3,509,593386.0619678554
415,12257,4,1920,3002,2,1731,643132.654032992
416,3816,4,1910,3844,1,545,642702.0188538176
417,7854,6,1939,1759,1,1587,609948.2417928374
418,8709,6,1910,2375,1,623,664482.7837160869
419,2569,1,1935,2263,3,1787,561325.3956912125
420,7442,8,2012,1020,2,593,651750.9041332824
421,3895,6,1958,2201,2,743,592601.8615313547
422,4733,3,1938,1516,0,1250,554559.3769830585
423,5863,9,2003,3503,0,1768,752027.5530449566
424,14913,2,1998,3273,2,1756,607876.2737185991
425,9455,8,1953,1513,2,1459,642757.2429638014
426,6014,3,1997,3048,2,1948,602099.556834382
427,13093,5,1954,616,3,1445,572558.8412350429
428,3686,6,2010,2933,2,553,681942.0855445241
429,5009,6,1923,1867,0,20,583177.3837594786
430,9806,4,2017,1083,3,553,564188.8986862327
431,2154,3,1921,894,2,396,531260.3130915228
432,12729,4,1968,1587,0,624,555579.1680156244
433,3409,1,1955,3268,3,104,576206.1246093307
434,14249,4,1932,571,2,191,524249.6165948216
435,2784,1,2021,773,2,16,464270.4009135475
436,13367,1,1935,2513,2,1143,509527.97937250364
437,10096,6,2010,1843,3,392,674070.1442543436
438,9560,5,1919,837,0,424,534794.5974965538
439,14533,4,1982,1889,0,128,569284.5867239317
440,9343,3,1998,1106,1,1153,517987.80970606604
441,9206,1,2015,665,2,571,504191.5900146663
442,7596,6,2006,2067,1,1583,696293.1030039681
443,7801,2,1980,2558,1,28,582875.6103713303
444,4806,8,1961,1824,0,1120,622807.3063534425
445,2537,5,2022,1228,3,1033,592710.6896226405
446,7986,7,2008,3348,3,241,747611.453441881
447,3841,2,2006,2543,0,1849,521359.4338601627
448,12647,8,1997,601,3,1979,626139.9840355624
449,10716,2,1972,3996,1,231,652928.5025898616
450,8971,4,1925,1915,2,788,607276.8439597444
451,7625,1,1965,1278,0,1307,501342.4660474611
452,4950,5,2016,713,2,714,561073.4432057907
453,9992,9,1972,1611,3,758,715242.7381316072
454,14323,1,1972,2076,2,801,578913.5663807751
455,6780,9,1939,2948,3,775,745759.0291048893
456,14307,8,1916,3135,3,1978,738313.741569355
457,4368,6,1900,3436,1,725,646454.0529377884
458,14039,7,1988,3617,3,199,719430.5347511782
459,8655,3,1960,2195,1,944,554986.0737198096
460,10173,1,1942,1091,1,78,464077.63390965894
461,6495,5,2003,1833,1,1936,580327.5395052386
462,12893,2,1941,1609,0,955,507930.09176045517
463,11163,5,1924,2639,0,1878,608475.8166465076
464,8002,8,1938,3220,3,855,760017.9046267923
465,8614,9,1934,1213,1,1196,627954.5270903258
466,11358,2,1902,1435,0,466,446415.6410356901
467,7919,3,2013,2451,1,580,597665.0234507084
468,12966,3,2000,741,2,1439,516766.0395117732
469,12174,1,2007,2543,2,939,551309.0023719101
470,2853,8,1943,501,2,448,595549.9976699407
471,6146,6,1950,2772,3,86,657094.7082354733
472,13928,8,1993,3348,1,100,742596.7990724669
473,5769,9,2001,2268,2,1031,766258.488738597
474,2574,5,1997,2449,0,844,585737.8905418647
475,13453,3,1911,3136,2,1223,608675.1582598168
476,3148,5,1918,2663,2,1528,623219.8975710173
477,8293,5,2000,1417,2,86,582184.8023302491
478,8457,5,1943,3674,3,42,722698.4915919395
479,9509,3,1958,2741,0,1408,599506.5311863805
480,11907,4,2022,3737,1,1644,698225.3300521285
481,6777,9,1948,3418,0,1458,741109.910095072
482,5854,9,1960,589,1,407,585008.0136011029
483,4491,2,1916,2209,3,1506,541356.2927748004
484,12852,8,1973,2669,3,663,732975.1941493319
485,5124,8,1956,642,3,1040,616716.6379682659
486,7691,7,1954,3541,3,1668,763054.1481215768
487,5051,8,2012,605,1,147,608515.242064936
488,2004,3,1946,1386,2,276,514839.7001333575
489,7222,6,1911,927,1,231,548111.9637163369
490,7315,1,1961,1828,0,1849,514896.2829936586
491,6869,7,1979,2395,3,1950,699756.6499247726
492,2876,1,1987,2494,3,365,589202.1726430937
493,11183,9,1982,816,0,1251,596229.5177358962
494,9027,1,1907,2486,1,1674,511679.3966784615
495,6142,1,1994,1134,2,435,491703.9496050516
496,8966,7,1920,2425,2,398,694051.4703306691
497,9079,2,1980,2556,0,1234,549922.6335838396
498,9987,5,1986,3321,2,1414,692349.4378120195
499,8799,8,2000,3644,1,498,761301.2227787793
500,14556,8,2017,3930,1,539,785115.4549934122
